Category,name,price,link
electronics,mi star 2022 copper red 2000 W Shock Proof Immersion He...,357,https://www.flipkart.com/mi-star-2022-copper-red-2000-w-shock-proof-immersion-heater-rod/p/itm795bf1395e4e3?pid=IMMGG4DYT28KAXVH&lid=LSTIMMGG4DYT28KAXVHZL86ZY&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_3_81&otracker=search&fm=organic&iid=en_Fu1_N68JUd3eMgedOTB8uq1jsg31PkC55O72AEgo1yqPjJKUU_qwhIahc-j-rx-ZfgxDtXmGhECLJZdvILnVxg%3D%3D&ppt=None&ppn=None&ssid=sz1s27o6eo0000001767871240442&qH=9ca91fd2ee5f4b46
electronics,Longway Multipurpose Portable Digital Kitchen Weighing ...,299,https://www.flipkart.com/longway-multipurpose-portable-digital-kitchen-weighing-scale/p/itm5fb00d7af2079?pid=WSLHYD3GZZGQSTGZ&lid=LSTWSLHYD3GZZGQSTGZQEQC1B&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_3_82&otracker=search&fm=organic&iid=en_Fu1_N68JUd3eMgedOTB8uq1jsg31PkC55O72AEgo1yoX3_cWkGZmBaLz8j1zGldI8avqDXssTQnwy3NqHFcxQQ%3D%3D&ppt=None&ppn=None&ssid=sz1s27o6eo0000001767871240442&qH=9ca91fd2ee5f4b46
men,NOVA NHT 1136 Trimmer 120 min  Runtime 4 Length Setting...,591,https://www.flipkart.com/nova-nht-1136-trimmer-120-min-runtime-4-length-settings/p/itm4a91345e611f2?pid=TMRH4GMZCDCVG3ZJ&lid=LSTTMRH4GMZCDCVG3ZJVPHFOW&marketplace=FLIPKART&q=men&store=search.flipkart.com&srno=s_3_107&otracker=search&fm=organic&iid=en_ICb4XDgtMo4ejXxyXPuYTAPLuBDRf5GAovepubGRlX34F4xLazaSZmT0APgHJIntIvziuF0IECvQ-bW4pVSMTw%3D%3D&ppt=None&ppn=None&ssid=nbs5qr5vkw0000001767871251895&qH=d2fc17cc2feffa1d
men,"PHILIPS BT3101/15, Lift & Trim Tech, Effortless Even Tr...",1199,https://www.flipkart.com/philips-bt3101-15-lift-trim-tech-effortless-even-trimmer-45-min-runtime-10-length-settings/p/itmf3dede4396a90?pid=TMRFSEJ5WSW82ZDN&lid=LSTTMRFSEJ5WSW82ZDNL70AAU&marketplace=FLIPKART&q=men&store=search.flipkart.com&srno=s_2_75&otracker=search&fm=organic&iid=59598b54-5793-43eb-908b-7d70104457d4.TMRFSEJ5WSW82ZDN.SEARCH&ppt=None&ppn=None&ssid=m311qve9hs0000001767871250992&qH=d2fc17cc2feffa1d
men,One Plus OP 208 Cordless Professional Hair Trimmer Tita...,495,https://www.flipkart.com/one-plus-op-208-cordless-professional-hair-trimmer-titanium-coated-blade-waterproof-120-min-runtime-4-length-settings/p/itme91527e6bff73?pid=TMRHH8H5G37Y8JRE&lid=LSTTMRHH8H5G37Y8JRENYGXRU&marketplace=FLIPKART&q=men&store=search.flipkart.com&srno=s_3_84&otracker=search&fm=organic&iid=299c987c-5ea3-4b9f-ab65-b2dd9dad61f0.TMRHH8H5G37Y8JRE.SEARCH&ppt=None&ppn=None&ssid=nbs5qr5vkw0000001767871251895&qH=d2fc17cc2feffa1d
electronics,Dr Trust (USA) Executive Rechargeable Digital Electroni...,900,https://www.flipkart.com/trust-usa-executive-rechargeable-digital-electronic-weight-machine-human-body-weighing-scale/p/itm373c2a84d0d6f?pid=WSLF63F5AYBDEEGJ&lid=LSTWSLF63F5AYBDEEGJSSFAAC&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_6&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.WSLF63F5AYBDEEGJ.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,Prestige 1600 W Induction Cooktop Push Button,1649,https://www.flipkart.com/prestige-1600-w-induction-cooktop-push-button/p/itmfd5167ac9e920?pid=ICTGHH6HQYJUZPA7&lid=LSTICTGHH6HQYJUZPA7BSYO68&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_7&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.ICTGHH6HQYJUZPA7.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
men,NOVA NHT 1042 USB Trimmer 60 min  Runtime 5 Length Sett...,498,https://www.flipkart.com/nova-nht-1042-usb-trimmer-60-min-runtime-5-length-settings/p/itm4c7a578356aad?pid=TMRGGGCPMXDKH9RQ&lid=LSTTMRGGGCPMXDKH9RQGQ0C70&marketplace=FLIPKART&q=men&store=search.flipkart.com&srno=s_3_98&otracker=search&fm=organic&iid=en_ICb4XDgtMo4ejXxyXPuYTAPLuBDRf5GAovepubGRlX2SLermrT0hsMjCtn3OPHKxIkqMZdkZchHA0FITCp8wFw%3D%3D&ppt=None&ppn=None&ssid=nbs5qr5vkw0000001767871251895&qH=d2fc17cc2feffa1d
electronics,One Plus OP 531 Cordless Professional Hair Trimmer For ...,598,https://www.flipkart.com/one-plus-op-531-cordless-professional-hair-trimmer-men-waterproof-120-min-runtime-4-length-settings/p/itmb4185f271b42d?pid=TMRHYGEHRKWGHZGD&lid=LSTTMRHYGEHRKWGHZGDLBIQT5&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_9&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.TMRHYGEHRKWGHZGD.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
electronics,NOVA NHT 1137 Trimmer 120 min  Runtime 4 Length Setting...,575,https://www.flipkart.com/nova-nht-1137-trimmer-120-min-runtime-4-length-settings/p/itm58156a53e3ff0?pid=TMRHETWXGBVPEBCZ&lid=LSTTMRHETWXGBVPEBCZJYZPZJ&marketplace=FLIPKART&q=electronics&store=search.flipkart.com&srno=s_1_10&otracker=search&fm=organic&iid=953a8f28-d980-475a-ae44-f7c05c38dc7d.TMRHETWXGBVPEBCZ.SEARCH&ppt=None&ppn=None&ssid=pw99qazfzk0000001767871237984&qH=9ca91fd2ee5f4b46
